Generation,evals,avg,std,min,max,best_one,fitness_best_one
167,348,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
168,350,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
169,344,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
170,336,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
171,352,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
172,336,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
173,344,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
174,332,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
175,334,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
176,332,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
177,324,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
178,332,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
179,336,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
180,338,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
181,348,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
182,334,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
183,334,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
184,340,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
185,342,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
186,348,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
187,338,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
188,326,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
189,340,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
190,342,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
191,336,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
192,324,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
193,318,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
194,334,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
195,324,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
196,324,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
197,322,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
198,324,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
199,352,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
200,350,[  7.         412.01045446],[0.00000000e+00 7.38964445e-13],[  7.         412.01045446],[  7.         412.01045446],"[8, 9, 10, 21, 20, 6, 2, 13, 19, 18, 23, 16, 14, 12, 17, 15, 11, 5, 3, 1, 4, 7, 22, 25, 24]","(7.0, 412.0104544595641)"
